¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395102
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639986
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90574
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161676
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409924
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.677564
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997964
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395777
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.83704
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.635168
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17305
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44375
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70242
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02552
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63508
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 18.62663
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 18.59658
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 18.57025
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 18.5476
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 18.52861
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.81924
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.80926
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.80315
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.80091
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.80252
(336.22, 7.23, 330.19) (314.37, 3.15, 305.00) (1.46, 1.43, 1.41) Tools 21.4014
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97692
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186347
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414021
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660462
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928003
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172027
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421062
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689557
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979834
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356671
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793608
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606809
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15555
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4574
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70648
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03043
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64108
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64242
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.12342
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.09626
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.07289
(336.22, 7.23, 330.19) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.05328
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.60143
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.59156
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.58552
Ÿ(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.5833
(336.22, 7.23, 330.19) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 19.5849
(336.22, 7.23, 330.19) (314.37, 3.15, 305.00) (1.46, 1.43, 1.41) Tools 21.23739
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.991868
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204081
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433178
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.681213
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950557
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182802
(336.22, 7.23, 330.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432621
