¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(365.78, 9.94, 328.70) (364.58, 1.36, 363.47) (0.81, 2.16, 0.81) Human 21.6289
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914701
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128511
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.357444
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60341
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.86901
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155484
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.465319
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.801406
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167146
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.566547
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00557
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48909
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02398
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61873
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87045
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65723
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54566
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54841
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70314
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00542
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09782
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99653
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.72283
(365.78, 9.94, 328.70) (365.43, 1.30, 361.98) (0.81, 2.16, 0.81) Human 20.10842
(365.78, 9.94, 328.70) (365.43, 1.30, 361.98) (0.81, 2.16, 0.81) Human 20.04099
(365.78, 9.94, 328.70) (365.43, 1.30, 361.98) (0.81, 2.16, 0.81) Human 19.98496
(365.78, 9.94, 328.70) (365.43, 1.30, 361.98) (0.81, 2.16, 0.81) Human 19.93783
(365.78, 9.94, 328.70) (365.43, 1.30, 361.98) (0.81, 2.16, 0.81) Human 19.89829
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8987
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.111422
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339154
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.583482
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846222
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13088
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.43871
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.772541
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.13573
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.532225
(365.78, 9.94, 328.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.967224
