¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.91894
(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.95097
(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.98551
(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 12.02261
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.24561
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.77367
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.12621
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.78359
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.83236
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.88387
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.17221
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.16835
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.16686
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.16774
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.539896
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813766
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113003
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386741
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627869
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891126
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174851
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481476
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.813763
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.204616
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.885857
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72201
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.34042
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.37584
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.41389
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.45461
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.49804
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.7172
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.08398
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.21618
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.26909
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.32488
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.3836
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.44532
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.51011
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.57805
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543962
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818203
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117854
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405655
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642292
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896132
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171094
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.477401
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80937
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215332
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.898258
÷(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70577
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.79521
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.83447
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.87647
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.92129
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 12.96895
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.66339
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.04152
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.68422
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.74181
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.80242
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.86613
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.93302
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 13.00315
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 13.07662
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547969
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822565
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122642
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.425046
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663029
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918367
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.192976
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489021
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80904
