¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
• (439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.151353
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.137957
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.12565
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.114373
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.104166
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.094969
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.086802
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.079648
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.073504
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.076488
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.103466
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.16931
(439.66, 13.97, 277.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07064
(439.66, 13.97, 277.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42751
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.29999
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.270288
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.245615
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.222187
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.199976
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.178959
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.159113
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.140419
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.122858
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.1064
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.091043
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.076761
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.063542
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.051383
(439.66, 13.97, 277.69) (432.69, 7.93, 295.81) (0.81, 2.16, 0.81) Human 5.040263
