¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.78115
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.759043
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.873303
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.992241
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.30991
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 16.24375
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 17.69989
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64548
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673378
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.891644
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12862
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386753
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668947
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.978652
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.32002
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700805
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130579
