¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.03748
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.01334
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.06715
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.15052
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.35781
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.28976
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.27945
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.28753
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.39815
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.66
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591857
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866775
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167073
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488874
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844099
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241546
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683221
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176826
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.50626
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.859529
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.12351
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.00177
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.975705
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.951715
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.00939
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.09169
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.30441
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.26847
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.25574
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.24783
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.31534
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.42882
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586452
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860847
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160563
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481331
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839737
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236738
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677846
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.16601
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492097
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844242
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.05508
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.942518
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.916609
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.892757
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.954011
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.03528
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.25294
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.30339
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.23449
Ä(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.22658
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.23589
