¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.93879
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245928
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.535222
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84736
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285226
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82879
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5166
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.62592
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.70059
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.77854
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.85986
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.94465
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 12.03303
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 12.12511
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.22646
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.60773
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.70565
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.80755
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.9136
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 12.02392
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 12.1387
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 12.25811
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328128
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621126
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.940125
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271012
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562208
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876474
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.330406
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879643
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56207
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97869
(424.94, 14.68, 253.40) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 12.44127
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.1953
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329279
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622362
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.941463
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290155
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589742
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906186
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375916
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.930861
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60744
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09438
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.20332
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.16953
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.13847
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.11011
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.08441
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.16647
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330415
à(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623596
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94282
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.291628
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617809
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936497
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421721
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.982472
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65269
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20833
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.11981
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.08622
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.05533
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.02712
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.00156
(424.94, 14.68, 253.40) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 13.2993
(424.94, 14.68, 253.40) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.13995
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33155
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62483
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944165
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293101
(424.94, 14.68, 253.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646423
