¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207733
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492774
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.806084
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.14907
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.530005
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.006223
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.574471
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678236
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36342
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23842
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34581
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06539
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20799
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.953319
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.125772
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.31174
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.511566
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726753
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960637
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215702
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.504502
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.817522
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161733
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.544569
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.037268
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.628316
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.175727
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40087
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31135
(334.37, 7.04, 313.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43787
