¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.976552
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903973
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423439
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017873
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.730468
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57502
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63515
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96759
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60131
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77738
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52204
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66003
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36473
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.337685
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.551493
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.784322
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.038762
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.317907
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.631458
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.982088
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.37338
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423599
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018083
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726712
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57059
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64785
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98342
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66204
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86399
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65058
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88103
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62787
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.338233
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.55209
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.784973
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.039474
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.320003
