¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859708
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166875
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504331
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876759
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289812
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750319
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.26697
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.850506
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49915
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22457
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96637
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62234
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24893
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94387
(358.57, 7.06, 353.73) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 14.71991
(358.57, 7.06, 353.73) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 14.6938
(358.57, 7.06, 353.73) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 14.67065
(358.57, 7.06, 353.73) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 18.45028
(358.57, 7.06, 353.73) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 18.43209
(358.57, 7.06, 353.73) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 18.41753
(358.57, 7.06, 353.73) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 18.40656
(358.57, 7.06, 353.73) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 18.39921
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.470869
(358.57, 7.06, 353.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.658435
