¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.072491
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453346
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.845783
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.975639
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061361
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150517
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243306
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.339823
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44025
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.544694
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653406
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76656
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884349
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01052
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14245
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27992
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42322
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57268
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72862
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89138
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0613
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23715
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051243
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429953
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78546
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865362
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.948493
(371.64, 10.15, 322.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035003
