¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
š (420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.232562
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.219468
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.2071
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.195449
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.1845
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.174244
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.16467
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.155764
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.147524
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.139936
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.132992
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.126691
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.121021
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.115979
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.111567
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.110568
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.115197
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.125729
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.142821
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.167778
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.203109
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.254521
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.341982
(420.21, 14.38, 317.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.04476
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.282477
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.267742
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.253769
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.240544
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.228054
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.216288
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.205224
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.194861
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.185183
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.176184
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.16785
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.160173
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.153147
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.146768
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.141021
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.135911
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.131422
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.130386
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.135375
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.146703
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.165207
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.192518
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.232079
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.292844
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.451891
(420.21, 14.38, 317.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.3539
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.312356
¡ (420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.297437
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.283285
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.269892
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.257243
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.245318
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.234109
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.223603
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.213796
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.204669
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.196212
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.188422
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.181293
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.174808
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.16897
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.163766
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.159195
(420.21, 14.38, 317.23) (404.17, 8.91, 306.93) (0.81, 2.16, 0.81) Human 3.158099
