¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.704536
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.699759
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.760565
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878118
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281199
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718985
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214039
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687317
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22094
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83566
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5315
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10986
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55458
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15148
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79127
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47993
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97471
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42037
