¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678669
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.963507
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275221
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617698
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.643455
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.605652
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.570194
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.539783
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.515585
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.498914
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.384201
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.364655
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.346642
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.330142
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.315139
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.042693
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.267726
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.468103
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.903153
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.908538
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.096909
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.422147
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.118445
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179476
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420118
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.681594
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966711
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278704
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621519
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.702126
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.664473
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.62867
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.599457
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.575059
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.554539
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.429318
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.409646
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.391513
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.374904
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.3598
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.022027
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.318198
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.08553
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.89565
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.49244
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.574698
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.820158
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.188959
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.161819
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181995
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422827
Ï(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684552
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96994
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282246
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625437
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00418
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424273
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.689595
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.661592
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.636986
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.614018
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.476461
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.456653
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.438397
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.421673
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.406466
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.00174
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.370933
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.247132
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.70985
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.16331
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.116521
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.266687
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.563133
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.206357
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.207135
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184522
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425558
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687518
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.973195
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285849
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629364
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008549
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429127
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.867875
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.840607
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.815048
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.791168
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.525685
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.505739
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.487353
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.47051
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.455193
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.981837
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.425999
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.218173
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.53044
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.736208
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.771212
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.981668
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.32384
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.253681
Å(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.254455
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187067
