¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.8364
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.35361
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.780708
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.9175
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.063414
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.219262
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.386078
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.565089
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.757521
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964422
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182436
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418277
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674167
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951114
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24768
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57221
(327.25, 7.27, 328.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928799
