¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7918
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56637
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41066
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43213
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65644
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06832
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81516
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.77995
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.42503
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.38117
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.34163
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.30639
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.27541
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.24866
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.2261
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.20772
(422.18, 13.96, 323.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 21.19351
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368356
(422.18, 13.96, 323.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.709185
