¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.958736
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.944584
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.931838
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.920485
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.207448
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.839484
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.034804
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.227254
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.342749
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.614338
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.004167
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.767684
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518741
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712738
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920002
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141911
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.208953
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.171299
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.139621
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.109677
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.083586
