¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32195
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56627
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16159
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75019
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.432
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90209
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.93205
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.74615
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25676
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.586042
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948188
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348396
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792826
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289149
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84687
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47804
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18494
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72674
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20762
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74614
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33708
(380.39, 14.31, 266.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26279
