¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.371
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.26292
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.665862
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.883081
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119235
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376436
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.65162
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965055
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318155
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.699661
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.132438
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.612951
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.151556
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.764096
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4667
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27621
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21561
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29615
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57615
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12893
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.90964
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28874
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18852
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.66205
(437.05, 15.17, 250.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.878992
