¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858591
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.244626
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672342
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.148756
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681765
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25113
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89386
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65718
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55737
(408.84, 14.24, 243.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53631
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.1827
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.15192
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.12402
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.09898
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.07676
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.05735
(408.84, 14.24, 243.52) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 14.04072
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.01191
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.08524
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.05938
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.06389
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.08291
(408.84, 14.24, 243.52) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.10794
