¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025408
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250198
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493734
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758355
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.824037
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.62904
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.513145
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.487648
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.463606
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.440992
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.47006
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.533324
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.599136
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.54829
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.594796
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.694164
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.769936
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.848792
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.859915
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.849701
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.84085
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.779778
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.665173
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.555633
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.452676
(368.94, 7.28, 351.10) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.43385
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021224
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245663
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48884
(368.94, 7.28, 351.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753044
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.670693
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.483659
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.414993
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.389904
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.366245
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.343994
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.390882
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.452371
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.516338
(368.94, 7.28, 351.10) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 6.58486
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.61792
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.606905
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.680537
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.757164
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.756812
(368.94, 7.28, 351.10) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 6.746775
