¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ì(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252825
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351202
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470568
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595417
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726078
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862841
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006147
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156381
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314007
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95614
(419.57, 13.81, 324.67) (403.19, 10.21, 296.45) (0.80, 0.87, 0.80) Tools 16.0804
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.2984
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.28244
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.26967
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418569
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482402
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548777
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6178
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.689651
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764385
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842208
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923172
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007465
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095215
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186639
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287608
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403663
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.52494
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65176
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784477
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923492
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069101
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221842
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.382118
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55048
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.16578
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.16932
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.17603
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.1859
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441161
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505571
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572518
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642193
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.714675
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790118
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868587
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950261
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.035349
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123909
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.227336
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.340178
¾(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.458052
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58126
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.710161
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845036
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986337
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13443
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289731
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452812
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624125
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.2226
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.26588
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.31259
(419.57, 13.81, 324.67) (402.52, 10.19, 296.46) (0.84, 0.87, 0.84) Tools 16.36277
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464799
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52975
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597322
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667642
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74077
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816916
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896157
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978616
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.065019
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170172
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279912
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394532
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514355
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639598
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770632
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9078
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051515
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202177
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360213
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.526188
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700605
(419.57, 13.81, 324.67) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 14.42248
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48936
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554972
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623203
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.694205
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.768053
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844925
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924899
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013564
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115928
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22277
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334311
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450832
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572641
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833257
(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.972816
Ä(419.57, 13.81, 324.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119059
