¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.465346
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.458861
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.453252
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.448521
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.451865
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.472088
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.515091
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.610965
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.09047
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.0918
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.09548
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.83262
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.808702
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.785974
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.764378
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.743905
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.724511
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.706176
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.68892
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.672698
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.657477
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.643264
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.630028
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.617784
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.606496
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.596117
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.586719
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.578259
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.570686
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.564028
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.558305
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.553455
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.559852
(395.37, 14.76, 307.61) (415.90, 8.79, 310.82) (0.81, 2.16, 0.81) Human 4.601833
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.19506
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.19164
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.1906
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.19194
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.19566
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478707
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74418
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033766
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354127
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727736
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142989
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589602
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084499
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.641871
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2743
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99777
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80301
Ö (395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.93209
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.9029
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.50459
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.48103
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.4598
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.81043
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.79326
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.77844
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.6035
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.31341
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.30516
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.29931
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.29587
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.29482
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.29617
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.29992
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475776
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740976
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030251
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.348253
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721215
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.135717
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578829
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072388
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62822
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25873
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97988
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77808
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.64944
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.23028
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.42223
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.39884
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.37776
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.13528
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.11765
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.10242
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.95018
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.42203
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.4137
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.4078
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.40433
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.40328
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.40464
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.40842
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472783
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73773
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026713
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343108
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714572
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127979
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568009
É (395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.060228
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614472
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24307
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96653
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75321
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65435
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.57869
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.34325
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.32002
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.29909
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.481
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.46287
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.44721
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 13.31913
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 14.99134
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.52664
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.52069
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.51718
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.51612
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.5175
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.52132
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.469841
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734507
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023164
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.339214
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707794
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118226
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.557117
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048021
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600673
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22771
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95512
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72843
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62083
(395.37, 14.76, 307.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19873
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.26753
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.24446
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 11.22366
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.84958
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.83092
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.8148
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 13.71248
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 14.89126
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.64413
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.63813
(395.37, 14.76, 307.61) (426.17, 13.90, 302.13) (8.74, 12.84, 18.83) Truck 12.6346
