¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62893
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.653118
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.608181
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.585387
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.564509
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.545691
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.528649
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.513599
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.500497
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.489223
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.479842
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.472441
(409.53, 14.88, 312.32) (384.21, 8.52, 307.04) (0.81, 2.16, 0.81) Human 9.486066
(409.53, 14.88, 312.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.3387
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166307
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410258
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.675847
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965371
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282356
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633169
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01761
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.436599
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.897803
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.41452
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.992245
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62906
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38016
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22345
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19118
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29596
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45906
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11712
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07616
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43886
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165517
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.409394
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674906
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964329
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281213
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.631828
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016104
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.435694
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.896741
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.413713
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.991332
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62931
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38045
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22609
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19874
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30825
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47315
Å(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14754
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08974
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48057
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.16474
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408542
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.673977
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.963303
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280085
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630496
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014629
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.434873
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895754
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.413012
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.99054
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62969
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38089
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22893
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20666
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.32099
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49876
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17874
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10432
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46632
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163974
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407704
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.673065
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.962295
(409.53, 14.88, 312.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278978
