¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
– (409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.30767
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.298228
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.289309
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.2809
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.272995
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.265585
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.258663
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.25222
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.24625
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.24075
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.23571
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.231126
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.227189
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.225713
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.227121
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.23145
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.238837
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.249523
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.263913
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.282622
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.306668
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.337809
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.379595
(409.04, 14.30, 243.74) (391.84, 8.05, 250.08) (0.81, 2.16, 0.81) Human 2.357851
