°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã (383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37512
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.36974
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.71883
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.529566
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.627955
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.732737
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.844521
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.992621
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.218661
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.524998
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.678671
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.844143
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.022766
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.23209
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.468042
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.727448
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008963
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316113
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657753
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039916
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508136
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067106
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727477
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.033572
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.649265
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83292
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35353
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33447
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.75199
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.530447
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.628891
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.733732
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.845582
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.965634
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.096186
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.236482
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.477762
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.84352
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.022082
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.235089
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.471355
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.728077
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005365
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31214
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653327
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034918
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508317
