¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853277
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50333
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21272
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04859
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.015
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97383
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41718
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85735
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11375
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77314
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.941838
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15597
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387429
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63827
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911074
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208693
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534662
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893085
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289046
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728595
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243356
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.831155
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47966
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18166
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97848
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8843
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3585
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72948
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02386
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67035
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.93466
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148204
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378996
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629169
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901127
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19784
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522783
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880017
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.274529
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712484
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224069
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.809269
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45645
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15115
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.972
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94264
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79714
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30105
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60506
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.93546
€(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56987
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90758
(383.79, 7.02, 355.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.92756
