¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4711
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25817
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09663
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70774
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.86126
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.43143
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.37937
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.41796
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.39457
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.35331
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.82272
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.314118
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.487012
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.672703
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.87255
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.088232
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318045
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564929
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83326
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125936
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446301
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797048
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178332
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59362
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048187
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.556046
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13334
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76451
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41458
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19359
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00512
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60742
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27111
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.58478
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.50738
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.57052
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.52552
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.48344
(335.58, 7.59, 344.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 13.54028
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.306982
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.479403
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.664482
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.863708
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078709
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306762
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552677
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819942
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111385
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430368
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780905
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162573
•(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57449
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027618
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539153
(335.58, 7.59, 344.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11429
