¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238323
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78289
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39782
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09757
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89848
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78363
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82341
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09925
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60789
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38763
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.53507
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13316
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19821
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42908
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.679206
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950965
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247267
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571471
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.927658
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320737
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756578
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242552
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787633
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4032
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1037
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90767
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7955
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84618
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11082
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62572
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40959
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51094
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.08328
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200107
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43116
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.681425
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95338
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249899
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574353
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930848
(441.10, 14.07, 273.70) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 7.62312
(441.10, 14.07, 273.70) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 7.928758
(441.10, 14.07, 273.70) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 7.902443
(441.10, 14.07, 273.70) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 7.877833
(441.10, 14.07, 273.70) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 7.854902
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11009
(441.10, 14.07, 273.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91518
