¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85481
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786087
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110858
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.469803
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868499
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320742
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836099
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42149
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.631249
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16813
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99619
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08674
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42361
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.09958
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.26779
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.86496
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.98542
(372.79, 9.69, 318.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786733
