¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82478
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19719
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53034
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.87965
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.30635
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67804
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.30625
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94936
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60921
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189277
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474777
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.789274
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137345
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523195
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.917943
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.358132
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.819523
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.335019
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.957027
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67155
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48165
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47313
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67323
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97668
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84901
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4058
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97254
(349.58, 6.98, 363.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29399
