¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84803
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55027
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91889
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03002
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.61873
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.22682
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37583
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.737015
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997021
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290874
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624883
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997933
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66271
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612522
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.781502
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5748
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42641
(432.49, 13.12, 333.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73988
