¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.93542
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905958
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137852
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388179
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658492
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954002
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.283016
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.639943
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036397
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476397
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969386
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15583
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80923
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 11.00542
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.86905
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.82684
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.8042
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.78383
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.76562
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.74961
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.73576
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.7241
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.71458
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.70717
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.70469
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.7495
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.89326
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.912036
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.14445
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395759
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.666794
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.9631
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.292247
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.65014
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.047352
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.488625
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577406
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17454
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8273
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 11.14496
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.93152
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.88163
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.85719
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.83504
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.81511
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.79743
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.78191
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.76861
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.75749
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.74848
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.74514
¦(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.79624
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.99274
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.918145
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.151083
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.403391
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.675163
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972269
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.301556
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.660427
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.058402
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.062934
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.594068
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19301
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84563
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58991
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40649
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 11.0551
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 11.02457
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.99674
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.97157
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.94906
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.92902
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.91134
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.89624
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.88339
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.87846
(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.97877
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924282
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.157746
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411076
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683592
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.981504
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310941
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.670799
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.602495
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077854
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.610854
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20937
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86419
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61119
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43449
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36574
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43784
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 14.5465
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 14.81017
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47591
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00282
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79012
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90842
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.930446
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.164439
•(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418811
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692082
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.990807
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.320402
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.681255
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615976
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092929
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627814
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22596
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88298
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63275
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46295
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39871
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47112
