¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058444
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300287
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558779
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835691
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132965
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452845
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797953
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.9877
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15348
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32689
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50842
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69858
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89791
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.107
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32653
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55719
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79983
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05525
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39356
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78231
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19891
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541138
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.809573
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.065673
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.34162
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605647
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8176
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.043421
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284266
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541706
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.817436
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113413
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457247
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817453
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07282
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24167
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41833
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60332
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79709
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00029
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21351
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43745
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67281
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92047
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24152
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61822
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02144
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45402
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538329
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806475
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07884
·(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3559
(428.51, 10.19, 360.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592909
