¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633877
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.072621
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.592215
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17577
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71208
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29394
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.929
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49806
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.12683
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71936
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5007
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20863
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24463
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.75263
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52553
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.29343
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.571393
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866381
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.189985
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513846
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846109
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.21325
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.621251
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.06219
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.571307
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17978
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71962
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30235
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95662
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52846
(338.63, 7.48, 336.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16044
