¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.61053
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.68143
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.65999
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.64107
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.62468
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.61077
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.54984
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.53324
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.51913
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.69807
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.72961
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.76954
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.87483
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068347
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301779
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550047
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810338
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110119
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447983
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821132
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234493
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651278
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075776
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546087
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10925
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97505
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4194
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.42913
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.7123
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.74005
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99332
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.25052
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.79562
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.31943
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.34128
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.31736
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.55097
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.57786
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.60903
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.64466
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.75501
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063761
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296817
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546515
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806536
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109255
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446998
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820065
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229524
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653096
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077829
Ë(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.548347
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12326
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97394
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43697
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.60714
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79939
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82732
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08102
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.37181
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97528
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.50663
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.4117
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.39497
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.43654
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.46311
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.49394
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.53612
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.6437
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059268
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29194
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543123
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802845
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108415
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446103
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816421
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224638
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655242
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080165
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550934
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13743
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97215
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45295
(403.23, 14.96, 308.65) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.79218
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8531
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.91867
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.17776
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.49363
(403.23, 14.96, 308.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.15761
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.92413
(403.23, 14.96, 308.65) (441.30, 8.86, 305.20) (7.78, 2.99, 7.32) Truck 21.33833
