¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.76789
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.74612
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.23404
(429.75, 15.02, 249.38) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 14.52921
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548189
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837046
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153892
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495666
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873375
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292878
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759157
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.272763
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874561
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4905
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19071
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95935
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.01518
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.98089
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.94912
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.91984
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.89301
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.86862
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.84662
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.28602
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548704
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837603
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152343
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49399
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871524
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290793
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759062
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273831
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860437
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47452
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17247
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94801
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.12151
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.08688
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.05479
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.0252
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.9981
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.97345
(429.75, 15.02, 249.38) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 11.95122
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549152
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838022
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150687
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492181
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869486
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288561
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756563
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274614
¸(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846321
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45854
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15424
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93627
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76941
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74585
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95397
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0809
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59441
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2328
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3586
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549525
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83832
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148951
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490244
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.867366
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.286189
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753902
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.275197
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832214
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44257
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13603
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92641
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71201
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66176
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86852
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97091
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43584
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92717
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.05832
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.54984
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837009
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147107
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488223
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865127
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283669
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751076
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.275495
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.818161
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42665
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11789
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89994
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65545
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57859
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74679
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87403
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30322
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66765
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76769
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550099
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835218
µ(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145149
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486051
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862738
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281013
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74811
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264721
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804119
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41077
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09974
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85695
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59978
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4963
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60184
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77907
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1592
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47412
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02378
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550307
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833356
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143097
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483787
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860217
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278223
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744984
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248775
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.790106
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39488
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08167
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81471
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.545
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41496
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48252
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68602
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01834
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29528
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73686
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550427
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831402
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140939
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481413
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85758
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.275303
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741674
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233721
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776118
(429.75, 15.02, 249.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37905
