¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.460546
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.440132
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.421294
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.403965
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.388168
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.373876
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.361074
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.349725
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.340232
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.353152
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.406181
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.54926
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914596
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208363
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527522
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.877822
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.682374
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.578311
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.531977
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.503657
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.476986
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.451964
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.42854
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.406725
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.386444
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.367731
