¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.925544
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.173378
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.20643
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.175853
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.161798
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.459098
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.442581
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.427217
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.334187
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.309938
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.394698
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.383992
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.374371
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.36583
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.358359
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.437691
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.570676
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.472792
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.379321
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.290002
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.204599
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.122893
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.044681
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.969776
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.898002
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.829201
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.763221
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.71478
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94391
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193422
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466119
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.264086
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.234229
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.395023
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.378657
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.363433
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.311785
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.359881
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.333458
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.321154
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.311605
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.303122
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.295697
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.47846
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.669981
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.568753
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.472123
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.37982
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.291595
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.207215
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.126467
 (395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.049154
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.975096
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.904119
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.836071
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.731782
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.962382
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.213552
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48815
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.356475
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.325946
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.344568
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.052689
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.032367
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.482094
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.453661
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.426579
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.400813
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.376332
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.353113
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.331128
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.519942
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.774189
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.669389
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.569394
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.473912
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.38268
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.295456
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.212012
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.132144
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.055656
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.982373
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.912126
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.748854
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.980923
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233841
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510383
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.453277
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.422039
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.99798
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.976347
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.9562
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.581085
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.551921
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.524134
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.497697
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.472574
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.448737
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.426159
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.562147
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.883621
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.775006
Œ (395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.671416
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.572543
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.478109
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.387854
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.229533
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.218952
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.139883
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.064148
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.99157
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.766031
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.999616
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254238
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53273
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.554783
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.522795
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.493653
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.902957
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.883276
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.684885
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.654949
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.626419
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.599264
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.573459
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.548966
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.525763
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.605082
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.998638
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.885943
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.77851
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.676013
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.57816
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.172141
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.17311
