¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.856586
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.846798
(414.09, 14.37, 246.86) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 17.44765
(414.09, 14.37, 246.86) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.14051
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.536875
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.733153
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945068
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174505
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423673
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695133
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991973
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317885
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6772
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061522
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48302
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.414896
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.50304
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.478701
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.455971
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.699965
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.67968
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.66099
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.643878
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.628325
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.614318
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.60184
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.59486
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.585404
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.577446
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.570981
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.565998
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.562496
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533967
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730023
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.941678
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.170835
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.41969
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690794
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98725
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312655
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671451
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057788
(414.09, 14.37, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.478901
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.431583
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.405955
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.381936
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.359504
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.338632
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.319303
(414.09, 14.37, 246.86) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.301494
