¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
—(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.128944
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.393116
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.66822
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967403
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.30317
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.675132
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088679
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.545651
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.044151
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.606399
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19702
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96048
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53152
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52959
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70349
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08721
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68269
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39077
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51699
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137756
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395577
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668997
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.973953
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310966
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.683776
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098321
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.547662
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.04641
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.596898
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15968
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.956
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53978
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53922
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71491
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11542
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78523
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51167
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56937
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.145481
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396267
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674274
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980975
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318715
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.692374
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.104319
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.549655
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048652
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.547214
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15565
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9513
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5481
Í(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54896
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72643
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13151
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80272
(325.69, 7.23, 390.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59149
