¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09969
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1935
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.50783
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11649
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36966
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97723
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.05219
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.83591
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.95605
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.20467
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.24805
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.96363
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.95965
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.95957
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.96337
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893051
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129277
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386528
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667678
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.976142
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.316029
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.692307
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111056
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57979
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.107905
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.70732
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39336
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18608
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11228
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2085
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.52601
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.13897
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.15886
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.99653
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.95125
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.93033
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.95921
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.89358
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.17234
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.14035
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.13632
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.13621
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.14003
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895893
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132368
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389901
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671369
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.9802
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.32051
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69728
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.116607
Ğ(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.586023
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114954
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.71535
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40259
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.1968
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12488
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22352
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.54421
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.16149
(375.65, 7.26, 353.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.18743
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.16453
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.10956
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.08795
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.09741
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.64889
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.11198
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.12006
(375.65, 7.26, 353.35) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.13208
