¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(331.09, 7.34, 370.74) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.92683
(331.09, 7.34, 370.74) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 15.1341
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.33381
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.30417
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.67067
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.84706
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.2903
(331.09, 7.34, 370.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524938
(331.09, 7.34, 370.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787056
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.750933
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.589163
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.493117
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.466764
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.441877
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.418425
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.441438
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.492427
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.545513
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.600774
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.789146
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.004568
(331.09, 7.34, 370.74) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.72703
(331.09, 7.34, 370.74) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.226
(331.09, 7.34, 370.74) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 15.18653
(331.09, 7.34, 370.74) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 15.40157
(331.09, 7.34, 370.74) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 16.016
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.45011
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.40984
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.95831
(331.09, 7.34, 370.74) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 16.95383
(331.09, 7.34, 370.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524889
(331.09, 7.34, 370.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786969
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.854087
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.687851
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.563205
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.536572
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.511418
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.487718
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.499089
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.551192
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.605434
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.661892
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.834062
(331.09, 7.34, 370.74) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.052507
