¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.688057
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794528
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905501
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021298
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142113
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268303
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.400111
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521971
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700086
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300973
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.475703
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.663486
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.865774
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084283
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.258569
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438501
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63038
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814449
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873332
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934639
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998434
(431.85, 10.36, 361.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064789
