¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.4156
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.55949
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.72124
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.89366
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.10322
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.27584
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.88689
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.428051
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.925532
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.487391
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13036
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82142
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60049
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44943
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23253
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21229
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.20406
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.2495
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.35822
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.49553
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.65391
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.8255
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.03025
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.2032
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.80158
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.409654
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.904798
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.463858
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10148
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78832
(343.54, 7.75, 310.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56146
