¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
› (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40029
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.891418
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.050817
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.222578
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.407825
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.607831
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.824377
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.059571
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.317775
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.600306
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.9107
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.254382
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.638628
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.067515
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.552526
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.106839
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.74338
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.492
