¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.10767
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.1129
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.119527
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.127557
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.136997
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.147859
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.812636
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.58491
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.563757
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.411442
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74466
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40047
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24185
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91603
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.80616
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.77807
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.90019
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.78985
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.090701
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.081996
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.07469
