¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.47608
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.49306
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21042
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.92999
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.89792
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.87058
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.84794
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.82999
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.8167
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.80807
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.75372
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625364
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913083
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228396
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575395
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957712
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384307
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.860973
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.392034
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6177
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32121
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12704
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0592
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14954
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.50764
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.51953
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.53409
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.55132
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17716
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.79119
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.75931
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.73214
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.70964
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.6918
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.6786
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.67003
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.61601
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625791
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913551
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228909
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.57596
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958076
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384716
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.861062
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.392044
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61644
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31975
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12539
