¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67163
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4201
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28409
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29227
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49872
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02555
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70573
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.23132
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.19772
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.16777
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.14146
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.11875
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.09962
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.08405
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.07203
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.06355
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.05859
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809657
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038163
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286656
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.557807
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.854809
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671367
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05687
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481463
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941174
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455521
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03473
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69173
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44323
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31091
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32378
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53555
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07587
(439.42, 14.88, 251.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77992
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.29262
(439.42, 14.88, 251.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.25887
