¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.2223
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.23405
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.22732
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.855777
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077761
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318536
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576837
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851329
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146746
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470326
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82988
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236004
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683707
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.152087
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675856
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26539
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85502
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50449
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.43924
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.50018
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.07671
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.4075
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.9426
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.22856
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.2326
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.2162
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.06486
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.19771
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.859313
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081586
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322159
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57828
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852282
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147825
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471484
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827494
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221686
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.667074
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133541
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655107
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24194
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8273
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67753
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.40187
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.50393
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.14084
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.31932
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.41432
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.39316
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.37468
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.35884
Ì(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.34565
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.3341
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.32759
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862932
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085508
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323584
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579821
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853386
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149029
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472832
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828953
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222404
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653938
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115384
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634772
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21899
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80049
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85539
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.36712
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.50818
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.25354
(416.50, 14.64, 247.51) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 13.43528
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.95737
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.24761
