¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113496
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873176
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23975
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.647076
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109549
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626251
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20724
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84214
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35563
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76681
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21134
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69338
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21768
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69284
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98083
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21095
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45166
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70354
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96733
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2438
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53376
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83809
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18037
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60421
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088407
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307979
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549855
(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.812957
