¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­ (417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.832909
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.879359
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197239
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.85593
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89667
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61881
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84252
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23509
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88603
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55682
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60526
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.36009
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.314767
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.199994
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.090127
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.984904
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.88408
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.787431
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.739713
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.774555
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.811093
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.84937
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889431
