¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18881
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.605247
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068153
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585682
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16798
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82779
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52263
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25569
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0911
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88003
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70314
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63326
(349.54, 7.00, 362.83) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.1988
(349.54, 7.00, 362.83) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.18026
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363468
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605112
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.867217
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152436
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463898
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80531
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181108
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596716
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058631
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57501
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15592
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81412
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52283
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25591
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08237
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7659
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58924
(349.54, 7.00, 362.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50435
(349.54, 7.00, 362.83) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.99313
(349.54, 7.00, 362.83) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.99811
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011604
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266881
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.546698
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855413
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.196158
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573137
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987593
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.45178
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.975106
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28856
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05085
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90993
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90503
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9799
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9271
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01538
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6294
»(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016797
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272553
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.552353
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.861111
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.202464
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.581117
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.997092
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.462455
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643103
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30769
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07299
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9294
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92793
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95203
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95863
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11505
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41467
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.021936
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.278166
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.558508
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866726
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208681
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.588031
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.006514
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.473045
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659624
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32666
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09266
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94872
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9507
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03823
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0869
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14809
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20527
(349.55, 6.99, 363.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02702
