¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.508648
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.614684
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.73279
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.858045
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.991153
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.132747
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.283676
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.444846
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.668404
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.016679
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411909
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799442
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345105
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72443
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14674
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576633
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012642
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420473
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19191
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32846
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4805
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63903
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80428
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97665
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15654
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34441
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55126
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84609
(395.83, 6.87, 358.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.532525
