¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.84393
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.82169
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.80433
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.79182
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.78415
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.78132
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.78332
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.79015
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841939
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010157
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189642
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381408
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586798
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807201
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0443
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.387544
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793847
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347924
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988708
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07258
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8485
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18114
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70482
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57248
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91492
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93891
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.79741
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.77035
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.74817
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.73084
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.71836
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.7107
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.70786
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.70984
(343.20, 7.15, 380.70) (303.33, 1.59, 381.39) (1.70, 3.00, 10.49) Fence 24.71664
(343.20, 7.15, 380.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.781941
