¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592518
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870358
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174087
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507464
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874941
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281941
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735123
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242656
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792591
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32786
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95782
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69985
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69369
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10874
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67338
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46794
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67878
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53538
(337.85, 7.57, 338.93) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 24.60474
(337.85, 7.57, 338.93) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 24.59505
(337.85, 7.57, 338.93) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 24.59017
(337.85, 7.57, 338.93) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 24.50414
(337.85, 7.57, 338.93) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 24.51156
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.49052
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.67671
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.87716
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093451
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327647
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581814
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858711
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161369
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493469
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859503
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264816
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716008
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221208
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753107
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28386
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88936
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62166
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62977
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05774
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59631
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3904
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58037
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40629
(337.85, 7.57, 338.93) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 24.98453
(337.85, 7.57, 338.93) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 24.9921
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.483437
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.669096
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.868922
‚(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084622
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318038
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5714
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847346
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148931
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479814
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844434
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248096
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697362
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.200289
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714659
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24101
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8299
(337.85, 7.57, 338.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5454
