¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ (379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.70046
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.68297
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.66799
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.589728
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.585962
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.583096
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.581126
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.58005
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.579868
(379.64, 14.23, 268.00) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 4.580578
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963431
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185927
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426968
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688901
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974534
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.879812
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.75369
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.644038
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.620032
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.597478
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.576356
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.571165
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.614778
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.660279
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.70773
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.846479
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.046638
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.78192
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.76179
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.74421
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.72915
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.71661
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.70656
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.54518
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.958269
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180541
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42135
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683044
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968369
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.911775
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.78461
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.66695
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.642856
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.620222
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.599023
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.589862
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.633776
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.679588
(379.64, 14.23, 268.00) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.727357
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.8947
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.86929
à(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.84647
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.82624
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.80855
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.79342
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.7808
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.77069
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.47886
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953169
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175065
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.415377
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676538
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961296
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272884
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607527
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97178
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374371
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.821586
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323492
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91033
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57816
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33673
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17931
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.96271
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.93715
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.91421
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.89386
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.87608
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.86085
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.84816
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.838
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.41401
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.948157
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169634
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409497
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670148
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954308
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265236
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599383
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962796
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.364427
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810531
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310584
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.895675
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56145
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31842
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15811
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13746
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.00829
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.98522
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.96475
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.94686
Ú(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.93154
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.91877
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.90854
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.35062
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94323
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164276
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403708
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663873
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94743
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257672
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591423
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95401
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354699
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799692
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297897
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.881296
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54504
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30049
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13739
