¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529913
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888871
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.889852
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44761
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915546
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.440356
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05181
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83089
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63846
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56265
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59971
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63151
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57366
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60849
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09103
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.84962
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.14401
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.77977
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.192029
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512532
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378952
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828581
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.397257
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877913
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.398001
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02819
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81521
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62036
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54348
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56972
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60908
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51731
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51679
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98796
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89754
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97786
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.50032
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176179
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931498
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325103
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767754
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333922
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.840378
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355773
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0036
(375.92, 11.10, 323.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79922
