¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.72329
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.69608
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.67592
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.1784
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529633
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.752613
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995549
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261183
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.551963
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.872797
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228331
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.624226
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076598
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588861
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.172733
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58529
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44838
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46733
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68831
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23063
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18173
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55171
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.27061
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.89475
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.78502
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 19.83867
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.05207
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.50683
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.515481
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.737222
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978753
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242786
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.531606
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850345
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.203403
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596542
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.046348
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.554551
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.133701
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.803625
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39697
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40625
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61456
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1492
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.078
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.44749
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.82069
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.36366
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.21525
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.24687
(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.44678
ü(443.60, 14.27, 271.80) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 20.88544
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.501397
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.721908
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.962047
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.224394
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511372
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828031
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.178641
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.569833
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016287
(443.60, 14.27, 271.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520467
