¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.314775
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632694
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981156
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.364633
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788614
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259812
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786394
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37859
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95553
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54364
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20099
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92372
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72404
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63249
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66453
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85676
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24928
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86366
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.8236
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.98963
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243237
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475394
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726875
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993072
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281523
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596379
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.941248
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320661
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.739948
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20559
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.725646
(431.80, 10.30, 364.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31014
