¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.18332
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.162623
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426563
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.696536
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977061
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28049
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636862
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.015111
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.451272
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.922167
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.476064
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09484
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85094
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75165
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73037
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85858
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22507
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.90499
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19618
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00487
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.22002
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.19748
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1797
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.16664
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15831
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1547
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15579
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1616
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158046
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422713
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692337
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.974646
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276745
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.632724
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012115
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.447138
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.919615
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.472628
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09129
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8438
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73577
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71002
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83753
