¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375176
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574713
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785789
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012258
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255832
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517549
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793686
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09253
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.416896
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.678899
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854963
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040092
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.23497
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71082
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53531
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26289
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98697
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99182
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.73634
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.38086
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.78189
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.971
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174119
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392872
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609292
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822764
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051911
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298475
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562768
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842461
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145286
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.474146
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794516
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.975641
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166176
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.377789
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14326
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04716
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10048
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20488
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23602
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.02876
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69883
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.79638
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.986543
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.190823
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.410831
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644612
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86057
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092454
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342076
…(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609086
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.892469
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199378
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.532907
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896507
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100947
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297224
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780159
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6166
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99578
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11614
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51667
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44271
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21408
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89524
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811142
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002357
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207831
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429151
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668201
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899197
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133916
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386669
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656512
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943632
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254833
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.593163
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.962174
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231144
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442784
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21906
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03845
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95262
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13162
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87389
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59235
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32588
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.826136
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01846
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225106
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447787
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688333
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938681
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.176292
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432277
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70506
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996094
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311646
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.65493
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.029598
(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.36643
¢(327.28, 7.00, 327.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.850697
