¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5937
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889803
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.179352
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4958
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821177
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148021
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505086
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896704
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341918
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.93268
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20412
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.89795
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.8725
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.77346
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.7526
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.7339
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.71736
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.70294
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.76589
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.01682
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.67238
(413.87, 14.52, 245.82) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.66639
(413.87, 14.52, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041883
