¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57677
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.42768
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38175
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31205
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.4749
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.75703
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.569966
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.926762
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.310102
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.731125
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127567
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.544451
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07057
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62102
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20535
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84637
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5044
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23946
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9744
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79364
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6234
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.52828
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.37725
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.33214
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.25722
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.41008
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.64149
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.557632
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.913174
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.293977
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.713245
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.107822
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528409
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05264
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60074
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18184
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82025
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47522
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20641
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93862
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75474
(346.60, 8.51, 313.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58173
